method,prompt_type,prompt_id,reuse_interval,round,staleness_rounds,draft_tokens,accepted_len,retrieval_update,selected_count,oracle_overlap,pipeline_hit,pipeline_reuse,pipeline_wait_ms
reuse_R4,pg19,1,4,63,3,32,0,0,16,0.6842105263157895,0,0,0.0
reuse_R4,pg19,1,4,64,0,32,4,1,16,0.7777777777777778,0,0,0.0
reuse_R4,pg19,1,4,65,1,32,1,0,16,0.8823529411764706,0,0,0.0
reuse_R4,pg19,1,4,66,2,32,1,0,16,1.0,0,0,0.0
reuse_R4,pg19,1,4,67,3,32,3,0,16,0.6842105263157895,0,0,0.0
reuse_R4,pg19,1,4,68,0,32,1,1,16,0.6842105263157895,0,0,0.0
reuse_R4,pg19,1,4,69,1,32,4,0,16,0.7777777777777778,0,0,0.0
reuse_R4,pg19,1,4,70,2,32,2,0,16,0.7777777777777778,0,0,0.0
reuse_R4,pg19,1,4,71,3,32,2,0,16,1.0,0,0,0.0
reuse_R4,pg19,1,4,72,0,32,4,1,16,0.6842105263157895,0,0,0.0
reuse_R4,pg19,1,4,73,1,32,3,0,16,0.7777777777777778,0,0,0.0
reuse_R4,pg19,1,4,74,2,32,0,0,16,0.7777777777777778,0,0,0.0
reuse_R4,pg19,1,4,75,3,32,2,0,16,0.7777777777777778,0,0,0.0
reuse_R4,pg19,1,4,76,0,32,3,1,16,0.7777777777777778,0,0,0.0
reuse_R4,pg19,1,4,77,1,32,0,0,16,0.7777777777777778,0,0,0.0
reuse_R4,pg19,1,4,78,2,32,2,0,16,0.7777777777777778,0,0,0.0
reuse_R4,pg19,1,4,79,3,32,1,0,16,0.7777777777777778,0,0,0.0
reuse_R4,pg19,1,4,80,0,32,1,1,16,0.5238095238095238,0,0,0.0
reuse_R4,pg19,1,4,81,1,32,1,0,16,0.5238095238095238,0,0,0.0
reuse_R4,pg19,1,4,82,2,32,1,0,16,0.5238095238095238,0,0,0.0
reuse_R4,pg19,1,4,83,3,32,0,0,16,0.8823529411764706,0,0,0.0
reuse_R4,pg19,1,4,84,0,32,1,1,16,0.6,0,0,0.0
reuse_R4,pg19,1,4,85,1,32,0,0,16,0.5238095238095238,0,0,0.0
reuse_R4,pg19,1,4,86,2,32,4,0,16,0.6,0,0,0.0
reuse_R4,pg19,1,4,87,3,32,0,0,16,0.6842105263157895,0,0,0.0
reuse_R4,pg19,1,4,88,0,32,3,1,16,0.6842105263157895,0,0,0.0
reuse_R8,pg19,1,8,0,0,32,0,1,16,1.0,0,0,0.0
reuse_R8,pg19,1,8,1,1,32,0,0,16,0.8823529411764706,0,0,0.0
reuse_R8,pg19,1,8,2,2,32,4,0,16,0.8823529411764706,0,0,0.0
reuse_R8,pg19,1,8,3,3,32,4,0,16,0.8823529411764706,0,0,0.0
reuse_R8,pg19,1,8,4,4,32,4,0,16,1.0,0,0,0.0
reuse_R8,pg19,1,8,5,5,32,4,0,16,0.8823529411764706,0,0,0.0
reuse_R8,pg19,1,8,6,6,32,4,0,16,0.7777777777777778,0,0,0.0
reuse_R8,pg19,1,8,7,7,32,4,0,16,0.7777777777777778,0,0,0.0
reuse_R8,pg19,1,8,8,0,32,4,1,16,1.0,0,0,0.0
reuse_R8,pg19,1,8,9,1,32,4,0,16,0.7777777777777778,0,0,0.0
reuse_R8,pg19,1,8,10,2,32,4,0,16,0.7777777777777778,0,0,0.0
reuse_R8,pg19,1,8,11,3,32,4,0,16,0.7777777777777778,0,0,0.0
reuse_R8,pg19,1,8,12,4,32,0,0,16,0.6,0,0,0.0
reuse_R8,pg19,1,8,13,5,32,4,0,16,0.6842105263157895,0,0,0.0
reuse_R8,pg19,1,8,14,6,32,4,0,16,0.7777777777777778,0,0,0.0
reuse_R8,pg19,1,8,15,7,32,4,0,16,0.7777777777777778,0,0,0.0
reuse_R8,pg19,1,8,16,0,32,1,1,16,1.0,0,0,0.0
reuse_R8,pg19,1,8,17,1,32,2,0,16,1.0,0,0,0.0
reuse_R8,pg19,1,8,18,2,32,4,0,16,0.6842105263157895,0,0,0.0
reuse_R8,pg19,1,8,19,3,32,1,0,16,0.7777777777777778,0,0,0.0
reuse_R8,pg19,1,8,20,4,32,2,0,16,0.7777777777777778,0,0,0.0
reuse_R8,pg19,1,8,21,5,32,0,0,16,0.6842105263157895,0,0,0.0
reuse_R8,pg19,1,8,22,6,32,1,0,16,0.7777777777777778,0,0,0.0
