network,method,prompt_type,prompt_id,verify_input_len,verify_ms,rtt_ms
good,sync_k8,gsm8k,9,141.0,56.25629425048828,83.333349666665
good,sync_k8,gsm8k,9,150.0,60.54520606994629,87.31030433335181
good,sync_k8,gsm8k,9,159.0,62.29567527770996,89.35744133336145
good,sync_k8,gsm8k,9,168.0,67.54279136657715,94.37023933337554
good,sync_k8,gsm8k,9,177.0,71.1832046508789,97.73537333338115
good,sync_k8,gsm8k,9,186.0,72.05653190612793,98.94026999997298
good,sync_k8,gsm8k,9,191.0,73.35519790649414,99.93100466668811
good,tree_k8_b3,gsm8k,9,64.0,,59.5454710000334
good,tree_k8_b3,gsm8k,9,69.0,,62.26747666669826
good,tree_k8_b3,gsm8k,9,78.0,,63.71058533335811
good,tree_k8_b3,gsm8k,9,87.0,,66.68840566667708
good,tree_k8_b3,gsm8k,9,96.0,,68.25003433333782
good,tree_k8_b3,gsm8k,9,105.0,,74.50358133342286
good,tree_k8_b3,gsm8k,9,114.0,,79.78037533340739
good,tree_k8_b3,gsm8k,9,123.0,,81.5160966666577
good,tree_k8_b3,gsm8k,9,132.0,,85.47223166661985
good,tree_k8_b3,gsm8k,9,141.0,,85.5855166666028
good,tree_k8_b3,gsm8k,9,150.0,,88.77179899998897
good,tree_k8_b3,gsm8k,9,159.0,,89.47681466669842
good,tree_k8_b3,gsm8k,9,168.0,,94.9115733332523
good,tree_k8_b3,gsm8k,9,177.0,,100.18003466666991
good,tree_k8_b3,gsm8k,9,186.0,,101.22426466656805
good,tree_k8_b3,gsm8k,9,191.0,,103.3105703334163
good,sync_k8,gsm8k,10,70.0,38.27810287475586,65.19073033332978
good,sync_k8,gsm8k,10,79.0,36.806583404541016,63.269351333242
good,sync_k8,gsm8k,10,86.0,40.03334045410156,66.68039366667918
good,sync_k8,gsm8k,10,95.0,42.60993003845215,69.57795866672403
good,sync_k8,gsm8k,10,100.0,46.24056816101074,73.39225500006928
good,sync_k8,gsm8k,10,104.0,46.488046646118164,73.27648799991464
good,sync_k8,gsm8k,10,106.0,45.1357364654541,71.43513799999376
good,sync_k8,gsm8k,10,111.0,46.355247497558594,72.84380633331948
good,sync_k8,gsm8k,10,120.0,51.038265228271484,77.58105666669744
good,sync_k8,gsm8k,10,129.0,57.18088150024414,85.20667800004921
good,sync_k8,gsm8k,10,138.0,58.686256408691406,86.11187266663444
good,sync_k8,gsm8k,10,144.0,58.887481689453125,85.62310166664932
good,sync_k8,gsm8k,10,153.0,62.0732307434082,89.18805633335313
good,sync_k8,gsm8k,10,162.0,67.39950180053711,94.55737833338581
good,sync_k8,gsm8k,10,171.0,68.3436393737793,95.2846646666853
good,sync_k8,gsm8k,10,180.0,71.57754898071289,98.6834696667051
good,sync_k8,gsm8k,10,189.0,76.64990425109863,105.1129333333507
good,tree_k8_b3,gsm8k,10,70.0,,67.68746800005857
good,tree_k8_b3,gsm8k,10,79.0,,64.02339799996678
good,tree_k8_b3,gsm8k,10,86.0,,70.2040216667182
good,tree_k8_b3,gsm8k,10,95.0,,71.39021266667027
good,tree_k8_b3,gsm8k,10,100.0,,73.89178500002568
good,tree_k8_b3,gsm8k,10,104.0,,73.5029599999231
good,tree_k8_b3,gsm8k,10,106.0,,73.23100333333214
good,tree_k8_b3,gsm8k,10,111.0,,76.03537199999886
good,tree_k8_b3,gsm8k,10,120.0,,82.38904600003244
good,tree_k8_b3,gsm8k,10,129.0,,84.464135000048
good,tree_k8_b3,gsm8k,10,138.0,,84.25937300001414
good,tree_k8_b3,gsm8k,10,144.0,,85.32101733333289
good,tree_k8_b3,gsm8k,10,153.0,,89.55433433342318
good,tree_k8_b3,gsm8k,10,162.0,,92.92265833330212
good,tree_k8_b3,gsm8k,10,171.0,,95.30095566663701
good,tree_k8_b3,gsm8k,10,180.0,,99.77856833333828
good,tree_k8_b3,gsm8k,10,189.0,,100.88013133330386
good,sync_k8,humaneval,1,127.0,53.7264347076416,81.08749366657557
good,sync_k8,humaneval,1,129.0,54.364919662475586,81.05597666662695
good,sync_k8,humaneval,1,130.0,54.84127998352051,81.95493499995352
good,sync_k8,humaneval,1,139.0,56.366682052612305,83.98233800000034
good,sync_k8,humaneval,1,145.0,63.71712684631348,90.09029000000244
good,sync_k8,humaneval,1,154.0,64.06283378601074,90.92070800009432
good,sync_k8,humaneval,1,163.0,67.39449501037598,94.10521899996444
good,sync_k8,humaneval,1,165.0,66.82896614074707,94.20779099998686
good,sync_k8,humaneval,1,174.0,68.23873519897461,95.57334500006067
good,sync_k8,humaneval,1,183.0,73.5929012298584,100.0104210000033
good,sync_k8,humaneval,1,186.0,72.54838943481445,99.5155206666951
good,sync_k8,humaneval,1,187.0,73.26674461364746,100.50847966671546
good,sync_k8,humaneval,1,189.0,76.16710662841797,103.23347066662456
good,sync_k8,humaneval,1,192.0,74.26095008850098,101.45049233330037
good,sync_k8,humaneval,1,195.0,77.64530181884766,104.89712199992229
good,sync_k8,humaneval,1,204.0,78.88340950012207,105.45996799997735
good,sync_k8,humaneval,1,213.0,83.84990692138672,111.9701500000615
good,sync_k8,humaneval,1,222.0,85.87980270385742,113.08344433331996
good,sync_k8,humaneval,1,230.0,89.08343315124512,116.40183199997604
good,sync_k8,humaneval,1,239.0,89.97201919555664,117.10887633333917
good,sync_k8,humaneval,1,248.0,94.53105926513672,122.08804033334138
good,tree_k8_b3,humaneval,1,127.0,,81.4405269999615
good,tree_k8_b3,humaneval,1,129.0,,82.47087633330617
good,tree_k8_b3,humaneval,1,130.0,,83.35372266660703
good,tree_k8_b3,humaneval,1,139.0,,83.45302766669121
good,tree_k8_b3,humaneval,1,145.0,,87.79002299999281
good,tree_k8_b3,humaneval,1,154.0,,89.6214649999184
good,tree_k8_b3,humaneval,1,163.0,,94.72418999995885
good,tree_k8_b3,humaneval,1,165.0,,94.279202999998
good,tree_k8_b3,humaneval,1,174.0,,95.90499900003937
good,tree_k8_b3,humaneval,1,183.0,,98.93058966661272
good,tree_k8_b3,humaneval,1,186.0,,104.91122333336469
good,tree_k8_b3,humaneval,1,187.0,,103.36621300006402
good,tree_k8_b3,humaneval,1,189.0,,105.033082666638
good,tree_k8_b3,humaneval,1,192.0,,102.57861933331579
good,tree_k8_b3,humaneval,1,195.0,,106.64146600006663
